epoch,step,loss
1,300,1.3059210858245691
1,600,0.8849164590565488
1,900,0.6255658695357852
1,1200,0.4609790125855943
1,1500,0.3331646758959202
1,1800,0.41635469736657493
1,2100,0.364587365309629
2,300,0.18972676078735579
2,600,0.2592057388931365
2,900,0.17638826191848542
2,1200,0.17016162166850943
2,1500,0.09474082218369101
2,1800,0.24534133674858216
2,2100,0.1461155918262193
3,300,0.05669883362350447
3,600,0.14617810307633894
3,900,0.10542756846557798
3,1200,0.132365403095943
3,1500,0.04214745889939877
3,1800,0.14753284488565743
3,2100,0.08936450995594593
4,300,0.0335090728790495
4,600,0.10122561883351712
4,900,0.08802477118045621
4,1200,0.11751158213357636
4,1500,0.023632879386934934
4,1800,0.11972988387441547
4,2100,0.06786691623872684
5,300,0.03206201699860874
5,600,0.09156106911826403
5,900,0.0596439372122101
5,1200,0.09896653075851569
5,1500,0.014654778197097092
5,1800,0.09226424813686739
5,2100,0.04936747969577482
6,300,0.021032652422023262
6,600,0.07663727951962339
6,900,0.06813659054961135
6,1200,0.06981693257883383
6,1500,0.009506469623916398
6,1800,0.09171513532633961
6,2100,0.03594722934763695
7,300,0.018884151336496777
7,600,0.077103865628942
7,900,0.05721031408412273
7,1200,0.0674046629281069
7,1500,0.007741535173466142
7,1800,0.05558453016697702
7,2100,0.04912395410041351
8,300,0.011227627539703135
8,600,0.06805129704984059
8,900,0.05039225647137452
8,1200,0.06604725394636962
8,1500,0.0065618912185686894
8,1800,0.06821135777682381
8,2100,0.030466466489544927
9,300,0.009495006607643646
9,600,0.05941762495171436
9,900,0.046711259386155085
9,1200,0.0599280270719305
9,1500,0.00729265723149183
9,1800,0.036658065524333476
9,2100,0.022325364442097755
10,300,0.013094564153108479
10,600,0.053612954807581444
10,900,0.03691912257765655
10,1200,0.053880159530647995
10,1500,0.004182242442163897
10,1800,0.05332548792682471
10,2100,0.0361401687698276
11,300,0.011048647314179523
11,600,0.061632275618679844
11,900,0.037858154649895066
11,1200,0.055545178002667325
11,1500,0.004071915323537686
11,1800,0.0328461701032118
11,2100,0.019192843520481045
12,300,0.010084449346711584
12,600,0.049665677314214916
12,900,0.03468744096648682
12,1200,0.04449126923967772
12,1500,0.004373386758200013
12,1800,0.03173904324003682
12,2100,0.023013365475125055
13,300,0.0077551897120057825
13,600,0.05532888112315845
13,900,0.03041974637797144
13,1200,0.05239426169294025
13,1500,0.005552846836082211
13,1800,0.039339373401781286
13,2100,0.015431078588641754
14,300,0.005524357144984719
14,600,0.040930234683816784
14,900,0.02425167700810353
14,1200,0.05347127537239229
14,1500,0.002993902869165884
14,1800,0.050031103693633366
14,2100,0.020921758346995983
15,300,0.005335376501564231
15,600,0.04662527954879427
15,900,0.02199367012529173
15,1200,0.04016794862164138
15,1500,0.0028497045523937694
15,1800,0.04184505494767571
15,2100,0.01914704465447064
16,300,0.004724794024100447
16,600,0.035048892062413205
16,900,0.021098914492069222
16,1200,0.04795985824081567
16,1500,0.002364642368946311
16,1800,0.026565634124225333
16,2100,0.014526582127890795
17,300,0.003333170969590166
17,600,0.04573824553163187
17,900,0.022949741317604928
17,1200,0.03166404819507695
17,1500,0.006582507349908297
17,1800,0.013360515200096448
17,2100,0.014258800616096417
18,300,0.023884682049340286
18,600,0.041709702343455675
18,900,0.01968876404658052
18,1200,0.04738735845771112
18,1500,0.0030085943793202573
18,1800,0.021693109072041968
18,2100,0.015748426330137212
19,300,0.009592592883240722
19,600,0.03806975506586172
19,900,0.020652953389055425
19,1200,0.021972080374948556
19,1500,0.00446675292034584
19,1800,0.009950634944311715
19,2100,0.013847971632513278
20,300,0.002484946383511802
20,600,0.03179979321510444
20,900,0.019110039749209308
20,1200,0.037650053201122705
20,1500,0.007482627355945913
20,1800,0.015458275427070732
20,2100,0.010447721446143537
21,300,0.016843581279928136
21,600,0.0345759880452647
21,900,0.02896966309990622
21,1200,0.034773606530510225
21,1500,0.0021117254981613816
21,1800,0.017619666475566332
21,2100,0.011594372246417753
22,300,0.0025979359012120304
22,600,0.028453586086261754
22,900,0.019001721607742727
22,1200,0.02681997436359964
22,1500,0.00244020755612965
22,1800,0.01136956690285956
22,2100,0.013458663684434881
23,300,0.002420772622967983
23,600,0.024426054931644004
23,900,0.019324180539680876
23,1200,0.02930163569724769
23,1500,0.0031890394319313725
23,1800,0.02133523114907741
23,2100,0.008420079881410298
24,300,0.01371779945426835
24,600,0.027095770590255554
24,900,0.021522943098286902
24,1200,0.01630384826941447
24,1500,0.0010224970330813222
24,1800,0.01160681548581311
24,2100,0.016832268158967142
25,300,0.014266375537499746
25,600,0.013083023103336871
25,900,0.0176266176877742
25,1200,0.007925028715191663
25,1500,0.0009713382790967274
25,1800,0.016149214834783574
25,2100,0.013904882767824324
26,300,0.007441417340708417
26,600,0.012795857754030067
26,900,0.01819352353303799
26,1200,0.01319039671750744
26,1500,0.0013259504248340193
26,1800,0.034652934137760216
26,2100,0.012422758213310297
27,300,0.005711366743074417
27,600,0.012384340731354939
27,900,0.017503112184793633
27,1200,0.007687366070537654
27,1500,0.000805972591926647
27,1800,0.0032545727102697933
27,2100,0.011863912373699274
28,300,0.0020451981391825078
28,600,0.009816149616374356
28,900,0.013722533379556244
28,1200,0.005798692252814206
28,1500,0.00841621155775852
28,1800,0.1025509969066399
28,2100,0.01518222746092808
29,300,0.004813297346281473
29,600,0.022895851664541358
29,900,0.019713370952268695
29,1200,0.009650594239157045
29,1500,0.0021738789489947883
29,1800,0.007776517969026647
29,2100,0.01104552508837474
30,300,0.006848195969790348
30,600,0.006568988634058262
30,900,0.013872008448322362
30,1200,0.012631840000609221
30,1500,0.001609826799032561
30,1800,0.006022418394854133
30,2100,0.011814146634967552
